	category	subcategory	code	name	url	description	unit_price
11	Wireless Connectivity	GPS/GNSS	MIKROE-4150	Nano GPS 2 Click	https://www.mikroe.com/nano-gps-2-click	Nano GPS 2 Click features the smallest GPS module with an integrated patch antenna, the ORG1510-MK05 a module from OriginGPS. It’s the world’s smallest multi-constellation antenna module enabling high-performance in a variety of applications. Multi Micro Hornet ORG1510-MK05 module is introducing the industry’s lowest energy per fix ratio, unparalleled...	45.00
12	Wireless Connectivity	GPS/GNSS	MIKROE-4456	GNSS RTK Click	https://www.mikroe.com/gnss-rtk-click	GNSS RTK Click is a compact add-on board used to enhance the precision of position data derived from satellite-based positioning systems. This board features the ZED-F9P, a multi-band GNSS module with integrated multi-band Real Time Kinematics (RTK) technology offering centimeter-level accuracy from U-blox. This module concurrently uses GNSS signals from...	229.00
13	Wireless Connectivity	GPS/GNSS	MIKROE-4772	IRNSS Click	https://www.mikroe.com/irnss-click	IRNSS Click is a compact add-on board that provides fast positioning capability. This board features the L89H, a high-performance IRNSS-enabled GNSS module capable of acquiring and tracking GPS, IRNSS, GLONASS, BeiDou, Galileo, and QZSS signals from Quectel Wireless Solutions. The module can work at L1 and L5 bands with two embedded antennas...	35.00
14	Wireless Connectivity	GPS/GNSS	MIKROE-4673	GNSS 8 Click	https://www.mikroe.com/gnss-8-click	GNSS 8 Click is a compact add-on board that provides fast positioning capability. This board features the LC79DA, a high-performance dual-band and multi-constellation GNSS module from Quectel Wireless Solutions. It supports L1 and L5 bands for GPS, Galileo, and QZSS, L1 band for GLONASS and BeiDou, as well as L5 band for IRNSS. This version of the LC79D...	44.00
15	Wireless Connectivity	GPS/GNSS	MIKROE-5078	GNSS 10 Click	https://www.mikroe.com/gnss-10-click	GNSS 10 Click is a compact add-on board that provides fast positioning capability. This board features the NEO-M8J, a standard precision GNSS module built on the high-performing M8 GNSS engine in the industry-proven NEO form factor from u-blox. This module utilizes concurrent reception of up to three GNSS systems (GPS/Galileo together with BeiDou or...	49.00
16	Wireless Connectivity	GSM/LTE	MIKROE-1298	GSM Click	https://www.mikroe.com/gsm-click	GSM click is a compact and powerful GSM cellular network communication solution, featuring the GSM/GPRS Telit GL865-QUAD module. This module features a full set of options for the cellular networking and communication, such as the network status indication, jamming detection, embedded TCP/IP stack, including TCP, IP, UDP, SMTP, ICMP and FTP protocols,...	49.00
17	Wireless Connectivity	GSM/LTE	MIKROE-1375	GSM2 Click	https://www.mikroe.com/gsm-2-click	GSM2 click is a compact quad-band GSM cellular network communication solution, featuring the GSM/GPRS Quectel M95. This module features a full set of options for the cellular networking and communication, such as the network status indication, jamming detection, embedded internet protocols, including TCP/IP, UDP, FTP, PPP, HTTP, SMTP, full GPRS multislot...	44.00
18	Wireless Connectivity	GSM/LTE	MIKROE-1720	GSM3 Click	https://www.mikroe.com/gsm-3-click	GSM3 click is a complete quad-band GSM cellular network communication solution, featuring the SIM800H-BT, a quad-band 2G GSM/GPRS module. This module is GSM Phase 2/2+ compliant, featuring a full set of options for the cellular networking and communication. It has a network status indication, jamming detection, embedded internet protocols including...	57.00
19	Wireless Connectivity	GSM/LTE	MIKROE-2388	GSM 4 Click	https://www.mikroe.com/gsm-4-click	GSM 4 click is a compact quad-band GSM cellular network communication solution, featuring the quad-band 2.5G GSM/GPRS SARA-G350 module. This module features a full set of options for the cellular networking and communication, such as the network status indication, jamming detection, embedded internet protocols, including TCP/IP, UDP, FTP, PPP, HTTP, SMTP,...	49.00
20	Wireless Connectivity	GSM/LTE	MIKROE-2296	3G-AA Click (for United States)	https://www.mikroe.com/3g-aa-click	3G-AA click is a versatile cellular network communication solution, featuring the compact 3G UMTS/HSPA Quectel UG95 module. This module features a full set of options for the cellular networking and communication, such as the network indication, embedded TCP/UDP stack, HTTP/HTTPS stack, full GSM/GPRS/EDGE implementation, UMTS/HSDPA/HSUPA protocol...	89.00
21	Wireless Connectivity	GSM/LTE	MIKROE-2226	3G-EA Click (for EU and Australia)	https://www.mikroe.com/3g-ea-click	3G-EA click is a versatile cellular network communication solution, featuring the compact 3G UMTS/HSPA Quectel UG95 module. This module features a full set of options for the cellular networking and communication, such as the network indication, embedded TCP/UDP stack, HTTP/HTTPS stack, full GSM/GPRS/EDGE implementation, UMTS/HSDPA/HSUPA protocol...	89.00
22	Wireless Connectivity	GSM/LTE	MIKROE-2244	3G SARA Click	https://www.mikroe.com/3g-sara-click	3G SARA click is a versatile cellular network communication solution, featuring the compact 3.75G UMTS/HSPA SARA U-201 modem from u-blox. This module includes a full set of options for the cellular networking and communication, such as the network indication, full embedded TCP/UDP stack, HTTP and HTTPS transfer protocols, IPv4/IPv6 dual-stack support,...	99.00
23	Wireless Connectivity	GSM/LTE	MIKROE-2527	4G LTE-E Click (for EU)	https://www.mikroe.com/4g-lte-e-click	4G LTE click is an LTE Cat 1 / 2G multimode cellular network solution, featuring the compact LARA-R2 series modem from u-blox. This module supports up to three LTE bands and GSM bands. It also features a full range of options for the high speed cellular networking and communication, such as the network indication, full embedded TCP/UDP stack, HTTP and...	115.00
24	Wireless Connectivity	GSM/LTE	MIKROE-2535	4G LTE-NA Click (for North America)	https://www.mikroe.com/4g-lte-na-click	4G LTE click is an LTE Cat 1 multimode cellular network solution, featuring the compact LARA-R2 series modem from u-blox. This module supports up two LTE bands. It also features a full range of options for the high speed cellular networking and communication, such as the network indication, full embedded TCP/UDP stack, HTTP and HTTPS transfer protocols,...	115.00
25	Wireless Connectivity	GSM/LTE	MIKROE-2747	AnyNet 2G Click	https://www.mikroe.com/anynet-2g-click	AnyNet 2G Click is a cellular to AWS gateway device, which provides developers with the complete solution for various IoT applications, by using the AWS IoT and Cloud Storage services for the data storage, analyzing and processing.This click board™ provides an easy and secure connection with the AWS over the air (OTA), by utilizing the equipped Quectel...	69.00
26	Wireless Connectivity	GSM/LTE	MIKROE-2975	AnyNet 3G-EA Click (for EU and Australia)	https://www.mikroe.com/anynet-3g-ea-click	AnyNet 3G-EA Click is a cellular to AWS gateway device, which provides developers with the complete solution for various IoT applications, by using the AWS IoT and Cloud Storage services for the data storage, analyzing and processing. AnyNet click board™ provides a secure connection with the AWS over the air (OTA), by utilizing the Quectel UG95-EA 3G...	57.85
27	Wireless Connectivity	GSM/LTE	MIKROE-3145	AnyNet 3G-AA Click (for United States)	https://www.mikroe.com/anynet-3g-aa-click	AnyNet 3G-AA click is a cellular to AWS gateway device, which provides developers with the complete solution for various IoT applications, by using the AWS IoT and Cloud Storage services for the data storage, analyzing and processing. AnyNet click board™ provides a secure connection with the AWS over the air (OTA), by utilizing the Quectel UG95-AA 3G...	57.85
28	Wireless Connectivity	GSM/LTE	MIKROE-3350	4G LTE-AT&T Click (for North America)	https://www.mikroe.com/4g-lte-att-click	4G LTE-AT&T click is an LTE Cat 1 / UMTS multimodecellular network solution, featuring the compact LARA-R2 series modem from u-blox. This module supports up to four LTE bands and up to two UMTS bands. It also features a full range of options for the high speed cellular networking and communication, such as the network indication, full embedded TCP/UDP...	115.00
29	Wireless Connectivity	GSM/LTE	MIKROE-3351	4G LTE-APJ Click (for Asia Pacific)	https://www.mikroe.com/4g-lte-apj-click	4G LTE-APJ click is an LTE Cat 1 / UMTS multimodecellular network solution, featuring the compact LARA-R2 series modem from u-blox. This module supports up to three LTE bands and one UMTS band. It also features a full range of options for the high speed cellular networking and communication, such as the network indication, full embedded TCP/UDP stack,...	115.00
30	Wireless Connectivity	GSM/LTE	MIKROE-3885	LTE Cat.1-US Click (for United States)	https://www.mikroe.com/lte-cat1-us-click-for-united-states	LTE Cat.1-US Click is a compact add-on board containing a low-power LTE-IoT connectivity solution. This board features the ELS61 (ELS61-US), a multi-band wireless module from Thales. The ELS61-US delivers highly efficient Cat 1 LTE connectivity for M2M IoT solutions offering seamless fallback to 2G and 3G networks. The best in the class solution enables...	105.00
31	Wireless Connectivity	GSM/LTE	MIKROE-3757	LTE Cat.1-EU Click (for Europe)	https://www.mikroe.com/lte-cat1-eu-click-for-europe	LTE Cat.1-EU Click is a compact add-on board containing a low-power LTE-IoT connectivity solution. This board features the ELS61 (ELS61-EU), a multi-band wireless module from Thales. The ELS61-EU delivers highly efficient Cat 1 LTE connectivity for M2M IoT solutions offering seamless fallback to 2G and 3G networks. The best in the class solution enables...	105.00
32	Wireless Connectivity	GSM/LTE	MIKROE-3888	Go to Cloud (G2C) 3G Click	https://www.mikroe.com/go-to-cloud-g2c-3g-click	Go to Cloud (G2C) 3G click is a gateway Click board™ which provides a simple and reliable connection to the Click Cloud platform, a cloud-based rapid prototyping environment, hosted by Mikroe. G2C 3G offers an unprecedented simplicity for adding Click Cloud connectivity over UMTS/HSPA to any embedded application, by utilizing the simple UART interface: it...	79.00
33	Wireless Connectivity	LTE IoT	MIKROE-3144	LTE IoT 2 Click	https://www.mikroe.com/lte-iot-2-click	LTE IoT 2 click is a Click board™ that allows connection to the LTE networks, featuring Quectel BG96 LTE module, which offers two LTE technologies aimed at Machine to Machine communication (M2M) and Internet of Things (IoT). This module is an embedded IoT communication solution which supports the LTE Cat M1 and NB1 technologies, offering an alternative to...	69.00
34	Wireless Connectivity	LTE IoT	MIKROE-3072	LTE IoT Click	https://www.mikroe.com/lte-iot-click	LTE IoT Click is a compact add-on board that contains a complete and cost-efficient solution offering multi-band data transmissions for Low-Power Wide-Area solutions. This board features the SARA-R410M-02B, a cellular module that supports LTE CAT M1 and Narrowband 1 (NB1) technologies, developed with IoT applications in mind from u-Blox. Designed for...	79.00
35	Wireless Connectivity	LTE IoT	MIKROE-3294	NB IoT Click	https://www.mikroe.com/nb-iot-click	NB IoT click is a Click board™ that allows LTE Cat NB1 connectivity by utilizing Quectel BC95-G, a specialized multi-band IoT module with very low power requirements and compact form factor, making it perfectly suited for various IoT-based applications. This module is an embedded IoT communication solution which supports several NB frequency bands,...	52.00
36	Wireless Connectivity	LTE IoT	MIKROE-4034	5G NB IoT Click	https://www.mikroe.com/5g-nb-iot-click	5G NB IoT Click is a Click board™ based on Thales ENS22 NB-IoT Wireless Module platform that boosts highly efficient future 5G connectivity for the IoT. The 5G NB IoT click combines single mode NB-IoT connectivity with extreme power efficiency, extended coverage range and advanced security features providing steadfast reliability for data only solutions....	59.00
37	Wireless Connectivity	LTE IoT	MIKROE-4118	LTE IoT 3 Click	https://www.mikroe.com/lte-iot-3-click	LTE IoT 3 Click is a compact add-on board that contains a Low Power Wide Area (LPWA) Wireless IoT module that allows connections to the LTE CAT-M1, CAT NB1/2, and 2G networks. This board features the EXS82-W, LTE-IoT Wireless Module from Thales that offers a rich set of Internet protocols and industry-standard interfaces such as UART, USB, etc. Global IoT...	79.00
38	Wireless Connectivity	LTE IoT	MIKROE-4325	LTE IoT 5 Click	https://www.mikroe.com/lte-iot-5-click	LTE IoT 5 Click is an add-on board with a compact and cost-effective secure-cloud multi-band solution designed for IoT applications. This board features the SARA-R510M8S, a cellular module that supports LTE Cat M1/Cat NB2 bands with integrated high-performance standard precision M8 GNSS receiver for global position acquisition from u-Blox. Equipped with...	79.00
39	Wireless Connectivity	LTE IoT	MIKROE-4388	LTE IoT 6 Click	https://www.mikroe.com/lte-iot-6-click	LTE IoT 6 Click is a compact add-on board that contains an IoT module with worldwide coverage. This board features the SARA-R412M, a cellular module that offers multi-band data transmissions for Low Power Wide Area solutions in a compact form factor from u-Blox. It provides software-based multi-band configurability enabling international multi-regional...	79.00
40	Wireless Connectivity	LTE IoT	MIKROE-4477	LTE IoT 4 Click	https://www.mikroe.com/lte-iot-4-click	LTE IoT 4 Click is a compact add-on board that contains an IoT module with worldwide coverage. This board features the nRF9160, highly integrated, low-power SiP with LTE-M/NB-IoT and GPS from Nordic Semiconductor. The nRF9160 has an integrated ARM® Cortex®-M33 processor supported by 1MB of Flash and 256KB RAM memory with advanced security features. It can...	55.00
41	Wireless Connectivity	LTE IoT	MIKROE-4472	NB IoT 5 Click	https://www.mikroe.com/nb-iot-5-click	NB IoT 5 Click is a compact add-on board suitable as narrow-band Internet of Things universal wireless communication solution. This board features the OT01-5, a high-performance NB-IoT module with ultra-low power consumption allowing battery life of about ten years from Notion. It supports a broad range of frequency bands almost worldwide. It provides...	31.85
42	Wireless Connectivity	LTE IoT	MIKROE-4465	LTE IoT 9 Click	https://www.mikroe.com/lte-iot-9-click	LTE IoT 9 Click is a compact add-on board that contains a Low Power Wide Area (LPWA) Wireless IoT module which is 3GPP Release 14 compliant. It allows connections to the LTE CAT-M1 and CAT NB1/2 network. This board features the EXS62-W, LTE-IoT Wireless Module from Thales that offers a rich set of Internet protocols and industry-standard interfaces such...	69.00
43	Wireless Connectivity	LTE IoT	MIKROE-4562	NB IoT 2 Click	https://www.mikroe.com/nb-iot-2-click	NB IoT 2 Click is a compact add-on board that contains a compact LTE Cat NB2 module with ultra-low power consumption. This board features the BC66-NA, a high-performance, multi-band LTE Cat NB2 module with extremely low power consumption from Quectel Wireless Solutions. It provides a flexible and scalable platform for migrating from GSM/GPRS to NB-IoT...	45.00
44	Wireless Connectivity	LTE IoT	MIKROE-4493	LTE IoT 8 Click	https://www.mikroe.com/lte-iot-8-click	LTE IoT 8 Click is a compact add-on board that contains a low-power solution for LTE and NB-IoT connectivity. This board features the SKY66430-11, a multi-band multi-chip System-in-Package (SiP) supporting 5G Massive IoT (LTE-M/NB-IoT) platforms from Skyworks Solutions and Sequans Communications. The SiP integrates the entire RF front end, transceiver,...	79.00
45	Wireless Connectivity	LTE IoT	MIKROE-4769	NB IoT 4 Click	https://www.mikroe.com/nb-iot-4-click	NB IoT 4 Click is a compact add-on board that contains a cellular IoT-based module with integrated eSIM for global data connectivity. This board features the C1-RM, a three-band NB-IoT IoT/2G wireless communication module supporting Band 3, 5, and 8 mainly applied to low power data transmission service from Cavli Wireless. The module also supports the...	55.00
46	Wireless Connectivity	BT/BLE	MIKROE-958	Bluetooth Click	https://www.mikroe.com/bluetooth-click	With the range up to a 100m and low power consumption, Bluetooth click is a great solution if you are looking for a simple way to integrate Bluetooth 2.1 communication to your device. It features the RN-41 low power, class 1 Bluetooth radio module. Bluetooth click communicates with the target board MCU through UART interface and is designed to run on 3.3V...	39.00
47	Wireless Connectivity	BT/BLE	MIKROE-1715	BLE2 Click	https://www.mikroe.com/ble-2-click	BLE2 click features the RN4020 module from Microchip, that integrates RF, a baseband controller, and a command API processor, making it a complete Bluetooth Low Energy solution.The click communicates with the target board MCU through mikroBUS™ RX, TX and AN (CMD), PWM (con.), and RST (wake) lines. The board is designed to use 3.3V power supply only....	30.00
48	Wireless Connectivity	BT/BLE	MIKROE-2471	BLE 3 Click	https://www.mikroe.com/ble-3-click	BLE 3 click is a quick and simple solution if you want to add Bluetooth Low Energy to your project. It features the NINA-B1 Bluetooth 4.2 module, from u-blox.This click also comes with an integrated antenna mounted on the PCB.	39.00
49	Wireless Connectivity	BT/BLE	MIKROE-1597	BLE P Click	https://www.mikroe.com/ble-p-click	BLE P click carries the nRF8001 IC that allows you to add Bluetooth 4.0 to your device. The click communicates with the target board MCU through mikroBUS™ SPI (CS, SCK, MISO, MOSI), RDY and ACT lines, and runs on 3.3V power supply. 	25.00
50	Wireless Connectivity	BT/BLE	MIKROE-2399	BT Audio Click	https://www.mikroe.com/bt-audio-click	If you are getting tired of all those cables you need just to listen to your favorite song over speakers, what you need is BT Audio click with Microchip’s RN52 Bluetooth audio module.With onboard 3.5mm jacks for both a microphone and a speaker, this is a complete solution for streaming audio from a smartphone or PC over a wireless connection.	49.00
51	Wireless Connectivity	BT/BLE	MIKROE-2543	RN4870 click	https://www.mikroe.com/rn4870-click	RN4870 click carries the RN4870 Bluetooth® 4.2 low energy module from Microchip.The click is designed to run on a 3.3V power supply. It uses ASCII Command Interface over UART for communication with target microcontroller, with additional functionality provided by the following pins on the mikroBUS™ line: PWM, INT, RST, CS.	33.00
52	Wireless Connectivity	BT/BLE	MIKROE-2545	RN4678 Click	https://www.mikroe.com/rn4678-click	RN4678 click carries the RN4678 Bluetooth® 4.2 dual mode module from Microchip.The click is designed to run on a 3.3V power supply. It communicates with the target microcontroller over I2C and UART interface, with additional functionality provided by the following pins on the mikroBUS™ line: AN, RST, CS, PWM, INT.	29.00
53	Wireless Connectivity	BT/BLE	MIKROE-2544	RN4871 click	https://www.mikroe.com/rn4871-click	RN4871 click carries the RN4871 Bluetooth® 4.2 low energy module from Microchip. The click is designed to run on a 3.3V power supply. It uses ASCII Command Interface over UART for communication with target microcontroller, with additional functionality provided by the following pins on the mikroBUS™ line: RST, CS, and INT.	33.00
54	Wireless Connectivity	BT/BLE	MIKROE-3674	BLE 8 Click	https://www.mikroe.com/ble-8-click	BLE 8 Click is fully embedded stand-alone Bluetooth 5.0 Energy connectivity module, equipped with the ANNA-B112, an ultra-small, high-performing, standalone Bluetooth low energy module for easy integration of Bluetooth low energy connectivity (BLE) into various electronic devices. This module combines a high-performance Arm® Cortex®-M4 CPU microprocessor...	29.00
55	Wireless Connectivity	BT/BLE	MIKROE-3773	BLE 4 Click	https://www.mikroe.com/ble-4-click	BLE 4 Click is fully embedded stand-alone Bluetooth 5.0 low energy connectivity module, equipped with the NINA-B312, an ultra-small, high-performing, standalone Bluetooth low energy module for easy integration of Bluetooth low energy connectivity (BLE) into various electronic devices. This module combines a high-performance Arm® Cortex®-M4 CPU...	29.00
56	Wireless Connectivity	BT/BLE	MIKROE-3872	BLE 7 Click	https://www.mikroe.com/ble-7-click	The BLE 7 click is a Click board™ witch provide BT/BLE connectivity for any embedded application. BLE 7 click based on the BGX13S22GA-V31, a SiP module from Silicon Labs with a buit-in antenna. Click board™ an ultra-small, high-performing, Bluetooth low energy module for easy integration of Bluetooth low energy connectivity (BLE) into various electronic...	21.00
57	Wireless Connectivity	BT/BLE	MIKROE-4038	BT-EZ Click	https://www.mikroe.com/bt-ez-click	The BT-EZ click is a Click board™ which provide BLE connectivity for any embedded application. BT-EZ click based on the CYBT-343026-01 module, from Infineon. This Click board™ is a fully integrated bluetooth low energy module, mentioned for easy integration into various electronic devices. Given its features, this click can be used for health, sports, and...	25.00
58	Wireless Connectivity	BT/BLE	MIKROE-4087	Bluetooth 2 click	https://www.mikroe.com/bluetooth-2-click	Bluetooth 2 Click features WT41u, a long range class 1, Bluetooth® 2.1 + EDR module from Silicon Labs. WT41u is a highly integrated and sophisticated Bluetooth® module, containing all the necessary elements from Bluetooth® radio and a fully implemented protocol stack. Therefore WT41u provides an ideal solution for developers who want to integrate...	79.00
59	Wireless Connectivity	BT/BLE	MIKROE-4120	BLE 5 Click	https://www.mikroe.com/ble-5-click	The BLE 5 Click is a Click board™ witch provide BT/BLE connectivity for any embedded application. BLE 5 click based on the PAN1760A, a module from Panasonic. The Click board™ with small Bluetooth Low Energy module for easy integration of Bluetooth Low Energy connectivity (BLE) into various electronic devices. Our board is coming with module already pre...	26.00
60	Wireless Connectivity	BT/BLE	MIKROE-4117	BT Audio 2 Click	https://www.mikroe.com/bt-audio-2-click	BT Audio 2 Click is Bluetooth audio stream add on board based on BM62 module from Microchip. It's a Stereo Audio module which is fully qualified Bluetooth v5.0 dual-mode (BDR/EDR/BLE) to be added in any wireless audio and voice application. With features like high resolution up to 24-bit, 96 kHz audio data format, Bluetooth Low Energy data rate up to...	45.00
61	Wireless Connectivity	BT/BLE	MIKROE-4170	BLE 6 Click	https://www.mikroe.com/ble-6-click	BLE 6 Click is a Bluetooth low energy system-on-chip application processor certified module, compliant with BT specifications v5.0 and BQE qualified. The featured BlueNRG-M2 module developed by STMicroelectronics supports multiple roles simultaneously and can act at the same time as Bluetooth master and slave device. The BlueNRG-M2 is based on the...	21.00
62	Wireless Connectivity	BT/BLE	MIKROE-4384	BT Click	https://www.mikroe.com/bt-click	BT Click is a compact add-on board targeted for applications that require both Bluetooth Smart and Classic connectivity. This board features the BT121, a dual-mode Bluetooth Smart Ready module solution that gives unparalleled flexibility to integrate both Bluetooth Smart and Bluetooth Basic Rate/Enhanced Data Rate (BR/EDR) wireless technologies from...	59.00
63	Wireless Connectivity	BT/BLE	MIKROE-4487	BLE 9 Click	https://www.mikroe.com/ble-9-click	BLE 9 Click is a compact add-on board that provides BT/BLE connectivity for any embedded application. This board features the BGM220P, an RF performance Bluetooth Low Energy solution for IoT developers from Silicon Labs. Based on the EFR32BG22 SoC, the BGM220P enables Bluetooth Low-Energy (BLE) connectivity while delivering RF range and performance,...	27.00
64	Wireless Connectivity	BT/BLE	MIKROE-4582	BLE TINY click	https://www.mikroe.com/ble-tiny-click	BLE TINY Click is a compact add-on board that provides BLE connectivity for any embedded application. This board features the DA14531MOD, SmartBond TINY module based on the world’s smallest and lowest power Bluetooth 5.1 System-on-Chip (SoC) from Dialog Semiconductor. This Click board™ is effectively future-proofed due to a combination of Bluetooth 5.1...	15.00
65	Wireless Connectivity	BT/BLE	MIKROE-4668	BLE TX Click	https://www.mikroe.com/ble-tx-click	BLE TX Click is a compact add-on board that contains a low-energy Bluetooth transmitter. This board features the AK1595, a Bluetooth 5.2 transmitter with incorporated proprietary algorithm software from AKM Semiconductor. The AK1595 transmitter simplifies wireless connectivity to a system with no need to develop complicated, proprietary microcontroller...	9.00
66	Wireless Connectivity	BT/BLE	MIKROE-4874	BLE 12 Click	https://www.mikroe.com/ble-12-click	BLE 12 Click is a compact add-on board that provides BT/BLE connectivity for any embedded application. This board features the BM832A, a powerful and highly flexible, ultra low power Bluetooth Low Energy (BLE) module from Fanstel. Based on the Nordic nRF52 SoC, the BM832A supports Bluetooth 5.0 Low-Energy (BLE) connectivity while delivering RF range and...	15.00
67	Wireless Connectivity	BT/BLE	MIKROE-4947	BT Audio 3 Click	https://www.mikroe.com/bt-audio-3-click	BT Audio 3 Click is a compact add-on board with high-performing voice and audio post-processing capability for Bluetooth audio applications. This board features the BM83, a fully certified Bluetooth v5.0 stereo audio module from Microchip. The BM83 contains an onboard Bluetooth stack and audio profiles and supports 24-bit/96 kHz high-resolution audio...	45.00
68	Wireless Connectivity	WiFi+BLE	MIKROE-3542	WiFi BLE Click	https://www.mikroe.com/wifi-ble-click	WiFi BLE click is a Click board™ which provides WiFi and BT/BLE connectivity for any embedded application. It features the ESP32-WROOM-32, an integrated wireless connectivity solution. The ESP32-WROOM-32 module itself is based on the ESP32-D0WDQ6 chip, a powerful 32-bit SOIC that runs RTOS featuring LwIP and TLS 1.2 with hardware acceleration. Armed with...	21.00
69	Wireless Connectivity	WiFi	MIKROE-2542	WiFi ESP Click	https://www.mikroe.com/wifi-esp-click	WiFi ESP click carries the ESP-WROOM-02 module that integrates ESP8266EX.The click is designed to run on a 3.3V power supply. It communicates with the target microcontroller over UART interface and the following pins on the mikroBUS™ line: RST, CS.	15.00
70	Wireless Connectivity	WiFi	MIKROE-2336	CC3100 Click	https://www.mikroe.com/cc3100-click	If you are building an IoT device that connects to the internet through WiFi, your two biggest concerns are power consumption and security – both major strengths of the module onboard CC3100 click.	49.00
71	Wireless Connectivity	WiFi	MIKROE-1768	WiFi 2 Click	https://www.mikroe.com/wifi-2-click	WiFi2 click features the HLK-M30 WiFi module with a built-in TCP/IP protocol stack. The click is designed to run on a 3.3V power supply; it communicates with the target MCU over an UART interface and the following mikroBUS™ pins: AN, RST.	29.00
72	Wireless Connectivity	WiFi	MIKROE-1913	WiFi 4 Click	https://www.mikroe.com/wifi-4-click	WiFi 4 click carries SPWF01SA, a complete standalone WiFi module with a single-chip 802.11 b/g/n transceiver, a 32-bit STM32 MCU, along with a built-in 2.4 GHz ISM band antenna.	49.00
73	Wireless Connectivity	WiFi	MIKROE-2274	WiFi 5 Click	https://www.mikroe.com/wifi-5-click	WiFi 5 click features Gainspan’s GS1500M 802.11b/g/n Low Power Wi-Fi module with a PCB trace antenna (external IPX antenna connector also available). The click is designed to run on a 3.3V power supply. WiFi 5 click communicates with the target MCU over a UART interface with additional functionality provided by RST and PROG pins (the latter in place of...	65.00
74	Wireless Connectivity	WiFi	MIKROE-2043	WiFi 6 Click	https://www.mikroe.com/wifi-6-click	WiFi 6 click features Bleugiga’s WF121-A self-contained WiFi module. With a fully integrated radio and 32-bit microcontroller, this module is ideal for embedded applications. WiFi 6 click is designed to run on a 3.3V power supply. It communicates with the target MCU the mikroBUS™ UART (TX, RX), SPI, or IC2, with additional functionality provided by CTS...	44.85
75	Wireless Connectivity	WiFi	MIKROE-1937	WiFly Click	https://www.mikroe.com/wifly-click	WiFly Click carries RN-131, a standalone, embedded wireless LAN module. It allows you to connect your devices to 802.11 b/g wireless networks.	69.00
